===============LOG-FTP===========
F05R == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F068 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F0C4 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F0M0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F14R == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F1M8 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F1T5 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F1VO == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F20D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F287 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F358 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F359 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F3VZ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F400 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F42U == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F4KZ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F528 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F52L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F559 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F564 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F57J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F590 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F5YB == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F5YT == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F61R == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F699 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F7YQ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F80F == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F845 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F861 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F873 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F8X1 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F91L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F928 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F988 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F9L0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
F9MP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FA28 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FA29 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FAU2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FAWA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FB6C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FB6L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FBGN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FBYU == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FC4Q == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FD8V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FD92 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FDSI == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FDV2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FE52 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FE80 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FE81 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FEPI == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FEWH == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FF4L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FF6W == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FFBT == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FFQL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FG4D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FGDG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FHYK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FIR2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FITK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FJJN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FJQJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FK15 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FKJU == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FKP2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FL03 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FLAN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FLND == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FM3J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FMFA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FN1M == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FOUZ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FQ16 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FQ77 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FQ97 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FQXQ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FQY7 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FR5G == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FROR == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FRVV == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FS78 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FSH8 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FSXX == The remote server returned an error: (500) Syntax error, command unrecognized.
FT15 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FT7H == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FTES == The remote server returned an error: (500) Syntax error, command unrecognized.
FTGN == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FTIS == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FUSM == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FUTW == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FV41 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FVCW == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
FYIP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R044 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R053 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R060 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R062 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R068 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R088 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R095 == The remote server returned an error: (500) Syntax error, command unrecognized.
R096 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
R30T == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
RRPP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
RU8X == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T004 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T00C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T025 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T02C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T045 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T05C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T07B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T08C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T0PY == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T10K == The remote server returned an error: (500) Syntax error, command unrecognized.
T11D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T12D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T14B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T153 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T16K == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T16Q == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T17B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1C7 == The remote server returned an error: (500) Syntax error, command unrecognized.
T1D4 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1IL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1JK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1JQ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1JS == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1LQ == The remote server returned an error: (500) Syntax error, command unrecognized.
T1NQ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T1PR == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T208 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T20B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T22B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T23B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T23D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T25P == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T27B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T28V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T29K == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2AD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2BJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2D0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2GX == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2J1 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2P2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T2TK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T30K == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T31J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T35B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T35J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T36B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T37P == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T39V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3D0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3DW == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3FA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3LK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3M6 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T3VS == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
T40Y == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
